Parameter,Influence
Pipe_P201_FI271_Diameter,4.798496928469294
Pipe_P201_FI271_Roughness,-4.798496928469294
Pipe_FI271_B204_Diameter,4.358757147776416
Pipe_FI271_B204_Roughness,-4.358757147776416
Pipe_V201_Tee1_Diameter,-2.8313616598545863
Pipe_B204_P202_Diameter,-2.7816937509330297
Pipe_B204_P202_Roughness,2.7816937509330297
Pipe_V201_Tee1_Roughness,2.6258836089354314
Pipe_Tee1_Tee2_Roughness,2.411104881868898
Pipe_V202_Tee2_Diameter,-2.3587843825600148
Pipe_Tee1_Tee2_Diameter,-2.344406443950878
P201_Rotational_Speed,-2.342438763002597
Pipe_V202_Tee2_Roughness,2.2069916344667293
Pipe_P201_FI271_Length,-2.0564986836296977
V203_PDropNom,2.0435066249414113
Pipe_P201_FI271_HDiff,-1.9574297944709764
Pipe_FI271_B204_Length,-1.8680387776184646
V205_PDropNom,1.8458974168560676
Pipe_FI271_B204_HDiff,-1.824945383142146
V206_PDropNom,1.6424367526238
V204_PDropNom,1.6350421373444817
Pipe_Tee1_P201_Diameter,-1.5942144557929065
Pipe_Tee1_P201_Roughness,1.5942144557929065
Pipe_V203_Tee2_Roughness,1.5034331295216112
Pipe_V203_Tee2_Diameter,-1.469136206256373
Pipe_B203_V203_Roughness,1.405147792256344
Pipe_B203_V203_Diameter,-1.40043954568814
Pipe_B204_P202_Length,1.1921544646855848
Pipe_B204_P202_HDiff,1.1677133608293593
Pipe_V201_Tee1_Length,1.125378689543757
Pipe_V201_Tee1_HDiff,1.1070400593669956
Pipe_Tee3_V207_Roughness,1.074607354063057
Pipe_P202_Tee3_Diameter,-1.067266845898785
Pipe_P202_Tee3_Roughness,1.067266845898785
P202_Rotational_Speed,-1.0670815867624779
Pipe_Tee1_Tee2_Length,1.0333306636580994
Pipe_Tee1_Tee2_HDiff,1.0074498954060227
Pipe_V202_Tee2_Length,0.9458535576285988
Pipe_V202_Tee2_HDiff,0.9263287315709972
V201_PDropNom,0.8304595206895593
Pipe_Tee5_V205_Roughness,0.7695676764097327
Pipe_Tee5_V205_Diameter,-0.7141284264728933
Pipe_Tee3_V207_Diameter,0.7014907516136546
Pipe_V207_Tee4_Diameter,0.68359234941597
Pipe_V207_Tee4_Roughness,-0.68359234941597
Pipe_Tee1_P201_Length,0.6832347667683882
Pipe_Tee1_P201_HDiff,0.6563003647952494
Pipe_V203_Tee2_Length,0.6443284840806911
Pipe_V203_Tee2_HDiff,0.6330467929902829
Pipe_Tee5_V206_Roughness,0.6252773545576924
Pipe_Tee5_V206_Diameter,-0.6203871205410412
Pipe_B203_V203_HDiff,0.6192444318004282
Pipe_B203_V203_Length,0.6022061966812907
Pipe_B201_V201_Roughness,0.5692795244047062
Pipe_B201_V201_Diameter,-0.569049774027395
Pipe_Tee3_V207_Length,0.4605460088841676
Pipe_P202_Tee3_Length,0.4574000768137653
Pipe_P202_Tee3_HDiff,0.44841596728110295
V202_PDropNom,0.40554211486022756
Pipe_V205_B202_Roughness,-0.3609179329863175
