Parameter,Value,Discrete_Bound_0,Discrete_Bound_1,Discrete_Bound_2,Discrete_Bound_3,Discrete_Bound_4,Discrete_Bound_5,Discrete_Bound_6,Discrete_Bound_7,Discrete_Bound_8,Discrete_Bound_9
V201.dp_nominal,29.62,79.9935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V202.dp_nominal,200.09,0.0,83.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V203.dp_nominal,1600.14,0.0,0.0,86.2675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V204.dp_nominal,200.09,0.0,0.0,0.0,89.4045,0.0,0.0,0.0,0.0,0.0,0.0
V205.dp_nominal,74.24,0.0,0.0,0.0,0.0,92.5415,0.0,0.0,0.0,0.0,0.0
V206.dp_nominal,0.1,0.0,0.0,0.0,0.0,0.0,95.6785,0.0,0.0,0.0,0.0
V207.dp_nominal,700.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8155,0.0,0.0,0.0
P201_Characteristic.k,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.9525,0.0,0.0
P202_Characteristic.k,94.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0895,0.0
,,,,,,,,,,,108.2265
